,congress,bill_number,sponsor_title,sponsor_name,sponsor_state,cosponsor_name,cosponsor_bioguide_id,date_signed,cosponsor_icpsr
0,116,hr5000,Rep.,Mike Doyle,PA,Robert E. Latta,L000566,2019-11-08,20755
1,116,hr5002,Rep.,Dan Crenshaw,TX,Jason Crow,C001121,2019-11-08,21912
2,116,hr5002,Rep.,Dan Crenshaw,TX,Michael Waltz,W000823,2019-11-08,21981
3,116,hr5002,Rep.,Dan Crenshaw,TX,Steve Cohen,C001068,2019-11-14,20748
4,116,hr5002,Rep.,Dan Crenshaw,TX,Kendra Horn,H001083,2019-11-14,21933
5,116,hr5002,Rep.,Dan Crenshaw,TX,Joe Wilson,W000795,2019-12-11,20138
6,116,hr5002,Rep.,Dan Crenshaw,TX,Michael R. Turner,T000463,2019-12-11,20342
7,116,hr5002,Rep.,Dan Crenshaw,TX,Julia Brownley,B001285,2020-01-10,21308
8,116,hr5002,Rep.,Dan Crenshaw,TX,Brett Guthrie,G000558,2020-01-10,20916
9,116,hr5002,Rep.,Dan Crenshaw,TX,Lance Gooden,G000589,2020-01-10,21925
10,116,hr5002,Rep.,Dan Crenshaw,TX,Denver Riggleman,R000611,2020-01-10,21957
11,116,hr5002,Rep.,Dan Crenshaw,TX,Guy Reschenthaler,R000610,2020-01-28,21956
12,116,hr5002,Rep.,Dan Crenshaw,TX,Kevin Hern,H001082,2020-01-28,21760
13,116,hr5002,Rep.,Dan Crenshaw,TX,Steve Womack,W000809,2020-01-28,21108
14,116,hr5002,Rep.,Dan Crenshaw,TX,Cathy McMorris Rodgers,M001159,2020-01-28,20535
15,116,hr5002,Rep.,Dan Crenshaw,TX,Harold Rogers,R000395,2020-01-28,14854
16,116,hr5002,Rep.,Dan Crenshaw,TX,Joe Cunningham,C001122,2020-01-28,21913
17,116,hr5002,Rep.,Dan Crenshaw,TX,Mario Diaz-Balart,D000600,2020-01-28,20316
18,116,hr5002,Rep.,Dan Crenshaw,TX,Michael McCaul,M001157,2020-01-28,20530
19,116,hr5002,Rep.,Dan Crenshaw,TX,John Carter,C001051,2020-01-28,20356
20,116,hr5002,Rep.,Dan Crenshaw,TX,Pete Olson,O000168,2020-01-28,20948
21,116,hr5002,Rep.,Dan Crenshaw,TX,Randy Weber,W000814,2020-01-28,21360
22,116,hr5002,Rep.,Dan Crenshaw,TX,Brian Babin,B001291,2020-01-28,21551
23,116,hr5002,Rep.,Dan Crenshaw,TX,Eleanor Holmes Norton,N000147,2020-01-28,NA
24,116,hr5002,Rep.,Dan Crenshaw,TX,Lloyd Smucker,S001199,2020-01-28,21745
25,116,hr5002,Rep.,Dan Crenshaw,TX,Henry Cuellar,C001063,2020-01-28,20533
26,116,hr5002,Rep.,Dan Crenshaw,TX,Bill Johnson,J000292,2020-01-29,21162
27,116,hr5002,Rep.,Dan Crenshaw,TX,Neal Dunn,D000628,2020-01-29,21714
28,116,hr5002,Rep.,Dan Crenshaw,TX,Warren Davidson,D000626,2020-01-29,21564
29,116,hr5002,Rep.,Dan Crenshaw,TX,Phil Roe,R000582,2020-01-29,20947
30,116,hr5002,Rep.,Dan Crenshaw,TX,John Joyce,J000302,2020-01-29,21936
31,116,hr5002,Rep.,Dan Crenshaw,TX,Don Young,Y000033,2020-01-29,14066
32,116,hr5002,Rep.,Dan Crenshaw,TX,Ann Wagner,W000812,2020-01-29,21337
33,116,hr5002,Rep.,Dan Crenshaw,TX,Denny Heck,H001064,2020-01-30,21369
34,116,hr5002,Rep.,Dan Crenshaw,TX,Tulsi Gabbard,G000571,2020-01-30,21324
35,116,hr5002,Rep.,Dan Crenshaw,TX,Raja Krishnamoorthi,K000391,2020-01-30,21730
36,116,hr5002,Rep.,Dan Crenshaw,TX,Tom Malinowski,M001203,2020-01-30,21942
