congress,bill_number,sponsor_title,sponsor_name,sponsor_state,cosponsor_name,cosponsor_bioguide_id,date_signed
115,hr5001,Rep.,Joseph Crowley,NY,Alan Lowenthal,L000579,2018-02-13
115,hr5001,Rep.,Joseph Crowley,NY,Adriano Espaillat,E000297,2018-02-15
115,hr5001,Rep.,Joseph Crowley,NY,Earl Blumenauer,B000574,2018-02-15
115,hr5001,Rep.,Joseph Crowley,NY,John Yarmuth,Y000062,2018-02-27
115,hr5001,Rep.,Joseph Crowley,NY,Bonnie Watson Coleman,W000822,2018-02-27
115,hr5001,Rep.,Joseph Crowley,NY,Sean Patrick Maloney,M001185,2018-03-05
115,hr5001,Rep.,Joseph Crowley,NY,Carolyn B. Maloney,M000087,2018-03-05
115,hr5001,Rep.,Joseph Crowley,NY,Steve Cohen,C001068,2018-03-14
115,hr5001,Rep.,Joseph Crowley,NY,Michael E. Capuano,C001037,2018-03-14
115,hr5001,Rep.,Joseph Crowley,NY,Eleanor Holmes Norton,N000147,2018-03-22
115,hr5001,Rep.,Joseph Crowley,NY,J. Luis Correa,C001110,2018-03-22
115,hr5001,Rep.,Joseph Crowley,NY,Susan A. Davis,D000598,2018-04-17
115,hr5001,Rep.,Joseph Crowley,NY,Raúl M. Grijalva,G000551,2018-04-25
115,hr5001,Rep.,Joseph Crowley,NY,Zoe Lofgren,L000397,2018-04-25
115,hr5001,Rep.,Joseph Crowley,NY,Carol Shea-Porter,S001170,2018-05-10
115,hr5001,Rep.,Joseph Crowley,NY,Alcee L. Hastings,H000324,2018-05-15
115,hr5001,Rep.,Joseph Crowley,NY,Frederica Wilson,W000808,2018-05-15
115,hr5001,Rep.,Joseph Crowley,NY,Tony Cárdenas,C001097,2018-07-11
115,hr5001,Rep.,Joseph Crowley,NY,David Cicilline,C001084,2018-07-11
115,hr5001,Rep.,Joseph Crowley,NY,Anthony Brown,B001304,2018-11-09
115,hr5002,Rep.,Debbie Dingell,MI,Fred Upton,U000031,2018-02-13
115,hr5002,Rep.,Debbie Dingell,MI,Peter Welch,W000800,2018-03-06
115,hr5002,Rep.,Debbie Dingell,MI,Ro Khanna,K000389,2018-04-11
115,hr5002,Rep.,Debbie Dingell,MI,Brian Fitzpatrick,F000466,2018-04-11
115,hr5002,Rep.,Debbie Dingell,MI,Marsha Blackburn,B001243,2018-05-15
115,hr5002,Rep.,Debbie Dingell,MI,David McKinley,M001180,2018-05-15
115,hr5002,Rep.,Debbie Dingell,MI,Robert E. Latta,L000566,2018-05-15
115,hr5002,Rep.,Debbie Dingell,MI,Greg Walden,W000791,2018-05-24
115,hr5002,Rep.,Debbie Dingell,MI,Jaime Herrera Beutler,H001056,2018-05-24
115,hr5002,Rep.,Debbie Dingell,MI,Daniel M. Donovan,D000625,2018-05-24
115,hr5002,Rep.,Debbie Dingell,MI,Yvette D. Clarke,C001067,2018-05-24
115,hr5002,Rep.,Debbie Dingell,MI,John Moolenaar,M001194,2018-06-08
115,hr5002,Rep.,Debbie Dingell,MI,Ken Buck,B001297,2018-06-08
115,hr5002,Rep.,Debbie Dingell,MI,French Hill,H001072,2018-06-08
115,hr5002,Rep.,Debbie Dingell,MI,Mike Coffman,C001077,2018-06-08
115,hr5002,Rep.,Debbie Dingell,MI,Rodney Davis,D000619,2018-06-08
115,hr5002,Rep.,Debbie Dingell,MI,Evan Jenkins,J000297,2018-06-12
115,hr5002,Rep.,Debbie Dingell,MI,Derek Kilmer,K000381,2018-06-12
115,hr5002,Rep.,Debbie Dingell,MI,Martha McSally,M001197,2018-06-12
115,hr5003,Rep.,Randy Hultgren,IL,C.A. Dutch Ruppersberger,R000576,2018-02-13
115,hr5003,Rep.,Randy Hultgren,IL,Luke Messer,M001189,2018-02-13
115,hr5003,Rep.,Randy Hultgren,IL,Edward Royce,R000487,2018-02-13
115,hr5003,Rep.,Randy Hultgren,IL,Dan Kildee,K000380,2018-02-13
115,hr5003,Rep.,Randy Hultgren,IL,Michael E. Capuano,C001037,2018-02-13
115,hr5003,Rep.,Randy Hultgren,IL,Collin C. Peterson,P000258,2018-04-11
115,hr5003,Rep.,Randy Hultgren,IL,Darren Soto,S001200,2018-04-11
115,hr5003,Rep.,Randy Hultgren,IL,Dennis Ross,R000593,2018-04-11
115,hr5003,Rep.,Randy Hultgren,IL,Julia Brownley,B001285,2018-04-11
115,hr5003,Rep.,Randy Hultgren,IL,Brad Schneider,S001190,2018-04-11
115,hr5003,Rep.,Randy Hultgren,IL,Raja Krishnamoorthi,K000391,2018-06-22
115,hr5003,Rep.,Randy Hultgren,IL,J. Luis Correa,C001110,2018-06-22
115,hr5003,Rep.,Randy Hultgren,IL,Jim McGovern,M000312,2018-06-22
115,hr5003,Rep.,Randy Hultgren,IL,John Garamendi,G000559,2018-06-22
115,hr5003,Rep.,Randy Hultgren,IL,Eleanor Holmes Norton,N000147,2018-06-22
115,hr5003,Rep.,Randy Hultgren,IL,Peter T. King,K000210,2018-06-26
115,hr5003,Rep.,Randy Hultgren,IL,Steve Stivers,S001187,2018-07-17
115,hr5003,Rep.,Randy Hultgren,IL,Daniel M. Donovan,D000625,2018-07-23
